EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
          Q2      1.63419      1.63419      0.00000
           W      2.28725      2.28725      0.00000
           x      0.27303      0.27303     -0.00000
           y      0.30090      0.30090      0.00000
          Mh      1.05065      1.05065      0.00000
          xF      0.14940      0.14940     -0.00000
      PhPerp      0.18713      0.18713     -0.00000
  sin(theta)      0.99867      0.51366      0.48501
        PhiH      5.75743      5.75743      0.00000
        PhiR      1.75030      1.75030      0.00000

EVENT#  xtree0: 8526  xtree1: 8526
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.56079      1.56079      0.00000
        pimP      2.69776      2.69776      0.00000
        eleP      4.35360      4.35360      0.00000
          Q2      2.88734      2.88734      0.00000
           W      3.11684      3.11684      0.00000
           x      0.24633      0.24633     -0.00000
           y      0.58928      0.58928      0.00000
          Mh      0.78414      0.78414      0.00000
          xF      0.41491      0.41491     -0.00000
      PhPerp      0.76004      0.76004      0.00000
  sin(theta)      0.95723      0.70521      0.25203
        PhiH      1.45103      1.45103      0.00000
        PhiR      0.67790      0.67790      6.28319

EVENT#  xtree0: 8561  xtree1: 8561
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.08825      3.08825      0.00000
        pimP      1.26822      1.26822      0.00000
        eleP      4.63920      4.63920      0.00000
          Q2      1.68795      1.68795      0.00000
           W      3.22151      3.22151      0.00000
           x      0.15090      0.15090     -0.00000
           y      0.56234      0.56234      0.00000
          Mh      0.92688      0.92688      0.00000
          xF      0.52903      0.52903     -0.00000
      PhPerp      0.26067      0.26067      0.00000
  sin(theta)      0.89498      0.08300      0.81198
        PhiH      1.63909      1.63909      0.00000
        PhiR      4.84287      4.84287      0.00000

EVENT#  xtree0: 8598  xtree1: 8598
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.57505      1.57505      0.00000
        pimP      2.99143      2.99143      0.00000
        eleP      5.84046      5.84046     -0.00000
          Q2      1.66884      1.66884      0.00000
           W      2.85359      2.85359      0.00000
           x      0.18685      0.18685      0.00000
           y      0.44901      0.44901      0.00000
          Mh      0.54383      0.54383      0.00000
          xF      0.78895      0.78895     -0.00000
      PhPerp      0.41554      0.41554      0.00000
  sin(theta)      0.93199      0.30218      0.62981
        PhiH      4.07243      4.07243      0.00000
        PhiR      5.08557      5.08557      0.00000

EVENT#  xtree0: 8996  xtree1: 8996
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.41697      1.41697      0.00000
        pimP      1.22125      1.22125      0.00000
        eleP      3.50970      3.50970      0.00000
          Q2      2.53697      2.53697      0.00000
           W      3.41301      3.41301      0.00000
           x      0.19067      0.19067      0.00000
           y      0.66890      0.66890      0.00000
          Mh      0.59443      0.59443      0.00000
          xF      0.14960      0.14960     -0.00000
      PhPerp      0.62099      0.62099      0.00000
  sin(theta)      0.99636      0.84545      0.15091
        PhiH      4.15719      4.15719      0.00000
        PhiR      5.47610      5.47610      0.00000

EVENT#  xtree0: 9479  xtree1: 9479
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.10914      1.10914     -0.00000
        pimP      2.06371      2.06371      0.00000
        eleP      3.39089      3.39089      0.00000
          Q2      4.68930      4.68930      0.00000
           W      3.11757      3.11757      0.00000
           x      0.34663      0.34663      0.00000
           y      0.68010      0.68010     -0.00000
          Mh      0.30973      0.30973      0.00000
          xF      0.26780      0.26780     -0.00000
      PhPerp      0.65164      0.65164      0.00000
  sin(theta)      0.72220      0.70152      0.02068
        PhiH      3.03913      3.03913      0.00000
        PhiR      0.67415      0.67415      0.00000

EVENT#  xtree0: 9521  xtree1: 9521
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.82407      1.82407      0.00000
        pimP      1.52456      1.52456      0.00000
        eleP      2.57553      2.57553      0.00000
          Q2      1.36303      1.36303      0.00000
           W      3.81780      3.81780      0.00000
           x      0.09052      0.09052      0.00000
           y      0.75703      0.75703      0.00000
          Mh      0.99045      0.99045      0.00000
          xF      0.14737      0.14737     -0.00000
      PhPerp      0.56996      0.56996      0.00000
