 #revent pip_E pip_th pip_phi pip_phiH pip_pT pip_z pip_Mx pip_xF pip_etaCM pip_etaBF pim_E pim_th pim_phi pim_phiH pim_pT pim_z pim_Mx pim_xF pim_etaCM pim_etaBF phiH_rad pT phiR1 phiR2
 109 0.2587617 1.5758451 -0.205226 4.7404235 0.2178472 0.1162555 1.5811877 -0.308706 -1.024322 1.5907578 0.4160114 1.5113057 1.3331335 3.1409021 0.3580177 0.1869041 1.5147831 -0.243864 -0.607223 1.1736583 3.6952417 0.4137154 5.7437364 5.5221598
 163 0.4094648 0.3336898 0.4522965 5.6188640 0.1619300 0.0786305 2.8708728 -0.006116 -0.044182 1.0356425 0.4010717 1.4097252 -0.303174 4.6377096 0.3703591 0.0770187 2.3072632 -0.362981 -1.147629 2.1390895 4.9221091 0.4796707 1.0484959 1.0590464
 166 0.6056302 0.9361593 1.2069205 3.3217781 0.3644383 0.2145121 1.8759216 -0.022448 -0.066168 0.8152070 1.5622223 0.4531971 -0.329595 1.1955453 0.7213744 0.5533337 1.3301633 0.2032734 0.3133165 0.4357218 1.7249608 0.6131383 4.0103355 3.7563610
 173 0.7485173 0.7260957 0.0941458 5.2798372 0.5272380 0.1518252 2.3287350 -0.169711 -0.451732 1.4082069 1.4228847 0.1225501 0.4347076 0.9153256 0.1572643 0.2886102 2.5551487 0.2405066 1.3096193 -0.353144 5.5824064 0.4961645 5.0305994 5.1407190
 179 0.4889239 0.9543475 -0.931846 4.2770961 0.3545840 0.1225500 2.2435887 -0.138168 -0.472347 1.3291437 2.2422606 0.5084641 -1.500430 3.8013825 0.7417216 0.5620282 1.6209932 0.3192063 0.5444035 0.3123924 3.9538328 1.0693373 0.2959945 4.6149769
 199 0.5064083 0.5973112 -0.721819 5.6412702 0.3030361 0.0757686 3.119152 -0.085453 -0.434778 1.550771 3.2373313 0.2002317 0.1674231 3.4534570 0.3439657 0.4843681 2.5457662 0.4233833 1.4426040 -0.326611 4.4255297 0.2992018 6.1508325 5.7718471
 187 0.4352515 1.1010834 -1.156438 5.9201101 0.3822578 0.0646195 2.8068703 -0.286587 -1.042370 2.1947307 5.2400603 0.2066975 -0.989063 2.7686678 0.6176341 0.7779642 1.7137378 0.6758908 1.3895686 -0.237208 2.7526749 0.2354257 5.9140259 5.9189447
 203 0.2047583 1.3060180 -1.294776 0.8672031 0.1474046 0.0313967 2.8848206 -0.212596 -1.319272 2.0746779 0.3611045 1.0699839 1.5105128 3.7417663 0.2722558 0.0553701 2.8629782 -0.178540 -0.858397 1.6138027 3.4512080 0.1357661 0.6937505 0.7305847
 177 3.6226048 0.3400752 -0.221696 2.0392588 0.6203826 0.6082510 1.6188972 0.4415516 0.8380193 -0.693180 0.6889548 0.3708481 -0.498041 5.7953842 0.3565809 0.1156785 2.2599251 -0.114682 -0.394906 0.5397453 1.4807777 0.3879922 2.2610517 2.5047272
 206 0.6868872 0.4286659 -0.522873 5.5686069 0.3548769 0.1449467 2.4553803 -0.030015 -0.112512 0.8483650 2.5729358 0.2546420 0.1997289 2.2837274 0.2198308 0.5429402 2.0261750 0.4681765 1.6748871 -0.939035 5.7933772 0.1408375 5.5138257 5.5483163
 201 1.1051623 0.3873210 -1.533597 2.6856901 0.1546268 0.2534753 2.2507177 0.1916563 1.0116430 -0.581459 0.3653104 0.9654559 0.6641078 1.8496211 0.2585104 0.0837860 2.2098225 -0.159724 -0.656861 1.0870447 2.1564181 0.3799095 4.3535368 4.8236739
 209 1.4230727 0.4475934 -0.828788 1.6922308 0.5677004 0.2283837 2.6369766 0.0435024 0.1220060 0.7116664 0.1865879 1.5126060 0.3944799 0.0568195 0.1234511 0.0299448 2.8340440 -0.232373 -1.465572 2.2992446 1.4755901 0.5731260 1.9030507 2.6734699
 217 0.1621540 0.9378337 -1.149519 2.3846583 0.0643245 0.0205474 3.5772017 -0.112347 -1.141976 2.5021154 0.9396554 0.8176996 0.3694401 3.9762720 0.6515681 0.1190692 2.9621414 -0.218239 -0.594716 1.9548554 3.8776882 0.6534017 0.9328617 1.3491378
 205 2.0126068 0.4639757 0.8987321 2.6806956 0.5956026 0.4549381 1.9917779 0.2803833 0.6133373 0.2975867 0.2491814 0.7816278 -0.380506 4.8783582 0.1474208 0.0563260 2.6014325 -0.088206 -0.584638 1.4955627 2.9110377 0.5229356 2.5074106 2.0402912
 227 0.3606739 0.9884650 -0.510035 3.2880310 0.2257838 0.1045672 2.1991465 -0.074191 -0.341794 1.0678588 2.8045351 0.0160018 0.5917154 6.2197168 0.6637723 0.8130963 1.1293879 0.5838835 0.9322855 -0.206221 6.1138998 0.4454349 3.1312577 3.2305824
 222 3.3569791 0.1901832 0.5295729 2.6130595 0.4045432 0.4012232 2.9382098 0.3424279 1.2100360 -0.270925 1.2214556 0.5372501 1.0281399 3.337935 0.5417095 0.1459873 3.2088371 -0.035794 -0.121863 1.0609743 3.0304083 0.8861161 1.0395606 0.4187690
 214 0.3846724 0.9704405 0.3423871 0.6761280 0.3282141 0.1211333 1.9234479 -0.232738 -0.726161 1.502491 0.2009346 2.5554708 0.2425514 1.0069122 0.0585704 0.0632743 1.8374584 -0.411373 -1.908339 2.6846683 0.7256764 0.3840807 0.6065140 0.5136518
 228 0.5826051 0.8925368 -1.260461 2.3153618 0.3363008 0.2338080 1.7335182 -0.002822 -0.008254 0.5882317 0.2197404 0.4045603 -0.305653 0.2095139 0.1127157 0.0881850 1.9315739 -0.068623 -0.396823 0.9768003 1.9806923 0.2952071 2.5567989 2.7996499
 244 0.3573474 1.4025010 -1.565862 4.8087575 0.3253758 0.1263232 1.6992878 -0.335777 -0.942734 1.6674921 0.2520352 0.7182659 -0.534955 2.4227314 0.0983054 0.0890951 2.1211949 -0.020614 -0.138161 0.8629193 4.5491755 0.2626194 4.9769761 5.0290409
 240 0.2842507 1.6548987 0.9106773 2.6208048 0.2471693 0.0558838 2.3953694 -0.310713 -1.270449 2.1004037 1.3238643 0.2287162 1.4052070 3.0437023 0.0832747 0.2602723 2.6054614 0.2219166 1.4642809 -0.634326 2.7261869 0.3249102 2.4238015 2.5890304
 243 0.4090876 0.7297780 -0.878205 4.1148123 0.1871106 0.1474073 1.9764513 0.0119621 0.0568251 0.5134979 0.5557432 1.2771482 0.0520726 4.8128508 0.5174937 0.2002520 1.3004219 -0.450553 -0.832982 1.4033052 4.6328414 0.6716932 1.9822497 2.1398304
 250 0.2788809 1.0728988 -1.104829 4.6633942 0.2078247 0.0818571 2.0705734 -0.163600 -0.722534 1.2833881 0.1699957 1.6948160 -1.029486 4.5516048 0.0966729 0.0498971 2.0704350 -0.223937 -1.242824 1.8036780 4.6279215 0.3040855 4.7595983 5.0021057
 239 1.2025886 0.2758530 -0.589622 0.8771597 0.1348505 0.3235322 1.8881150 0.2465674 1.1555012 -0.969444 0.8067826 0.4275060 -0.675499 6.0369691 0.5391032 0.2170486 1.5283787 -0.224632 -0.439861 0.6259177 6.2377214 0.6096897 2.6476854 2.7336642
 198 2.8660981 0.2220686 -0.584879 3.5786027 0.4337289 0.3753603 2.9218293 0.3073281 1.0552895 0.1149687 1.1234970 0.6858712 -0.720455 0.1468952 0.7677975 0.1471394 2.6895755 -0.247886 -0.564096 1.7343549 6.0913695 0.3734087 3.3929508 3.3406972
 230 0.6794273 0.3522652 -0.732977 0.5324691 0.3529421 0.1796303 2.0793678 -0.020896 -0.068484 0.5788059 1.5273153 0.4952267 0.7978229 1.9163259 0.5033654 0.4037992 1.8195439 0.2095592 0.4806777 0.0296433 1.3689357 0.6663198 5.7278730 6.2004302
 249 0.3638826 0.4566968 0.9852267 0.9165072 0.1782561 0.0655829 2.5495144 -0.071276 -0.428330 0.7654206 0.4218900 0.2709473 0.1869045 4.5144948 0.0491779 0.0760376 2.6526744 0.0241949 0.2273187 0.1097709 0.7562850 0.1358516 1.0136528 1.0027045
 269 0.7672513 0.5117274 0.5045745 2.2738263 0.2272087 0.2556831 2.0266301 0.1492285 0.6214547 0.1453958 0.3569739 1.3160295 -1.064797 4.3009574 0.3065695 0.1189600 1.8849230 -0.235157 -0.752936 1.5197867 3.5216220 0.2902068 1.6242185 1.4218716
 264 0.9180448 0.1430560 -1.013671 0.7962592 0.1756083 0.2083899 2.5250818 0.1495023 0.8451939 0.0882778 0.3529878 1.9340581 1.2998847 4.0828224 0.3128883 0.0801258 1.8970009 -0.504844 -1.487198 2.4206700 4.2631914 0.1414159 0.8891477 0.9155460
 265 0.1893780 1.2733899 -0.803893 1.6624369 0.1215243 0.0363760 2.6431523 -0.174103 -1.138112 1.8538534 0.4143522 0.6314514 0.9401484 3.5693938 0.1752298 0.0795895 2.7454649 -0.019282 -0.127768 0.8435099 2.8655418 0.1772708 0.9173494 1.1899918
 256 1.3746645 0.4881964 1.2730080 2.0710827 0.5197243 0.2967616 2.2859772 0.1230241 0.3276956 0.6210404 1.4867751 0.2981555 -0.402928 4.3414817 0.2914708 0.3209640 2.3967340 0.2417687 0.9447217 0.0040143 2.6625014 0.3999772 1.7657023 1.7819940
 260 1.3548783 0.1920124 -0.307732 1.7450562 0.2252128 0.1768602 3.3890342 0.1343624 0.8502926 0.4067346 1.4270793 0.1681668 0.3548809 2.5277521 0.1520939 0.1862850 3.3958789 0.1566808 1.1562078 0.1008194 2.0566093 0.3498949 1.0046809 1.0528733
 262 0.7519736 0.4232515 1.5272881 4.9657035 0.2632324 0.3125267 1.7387865 0.1606992 0.5419529 0.0606889 0.3839659 1.9587134 -0.706300 2.0100409 0.3456358 0.1595795 1.1931180 -0.586208 -1.279710 1.8823525 2.5203080 0.0996319 5.0712861 5.0996695
 259 1.1964830 0.6527694 -0.388790 3.7841271 0.3898240 0.5447382 1.4168449 0.3212324 0.7236241 -0.131246 0.3858031 0.4516306 0.2695486 4.9483210 0.1347832 0.1756495 1.8231091 0.0603129 0.3108525 0.2815245 4.0565456 0.4600967 3.4316236 2.7424830
 270 1.9410383 0.1114526 -0.651674 6.2667786 0.2097396 0.4271708 2.1275971 0.3555274 1.4137949 -0.820458 0.1962790 0.3438315 1.2986985 5.5306175 0.0627925 0.0431957 2.5590786 -0.068747 -0.582145 1.1754818 6.1037196 0.2597185 0.2364010 2.0952688
 246 0.5927278 0.7785784 -0.585328 2.5772365 0.2484194 0.2616809 1.7099992 0.0954130 0.3338943 0.1927886 0.2527490 1.1508721 1.2503607 4.8071368 0.1927897 0.1115851 1.7172315 -0.171366 -0.678156 1.2048394 3.4404754 0.2005500 2.1831292 1.9797827
